set,aoa_bin,filename,word,filler1.filename,filler1.word,filler2.filename,filler2.word,filler3.filename,filler3.word,trial
4,"(5,5.5]",pen04b.jpg,pen,ribbon04.jpg,ribbon,chain.jpg,chain,saw02b.jpg,saw,31
4,"(5,5.5]",toiletpaper01a.jpg,toiletpaper,broccoli01a.jpg,broccoli,comb02a.jpg,comb,lipstick02a.jpg,lipstick,33
4,"(5,5.5]",candle01.jpg,candle,slipper01b.jpg,slipper,broom.jpg,broom,hammer01.jpg,hammer,36
4,"(5,5.5]",sandal.jpg,sandal,broccoli01a.jpg,broccoli,pen04b.jpg,pen,ribbon04.jpg,ribbon,37
5,"(5.5,6]",strawbasket01.jpg,basket,scarf.jpg,scarf,ruler05.jpg,ruler,ashtray01.jpg,ashtray,38
5,"(5.5,6]",ruler05.jpg,ruler,cucumber.jpg,cucumber,flashlight02b.jpg,flashlight,lightbulb01.jpg,lightbulb,40
5,"(5.5,6]",stapler03a.jpg,stapler,umbrella04.jpg,umbrella,match.jpg,match,cherries.jpg,cherry,41
5,"(5.5,6]",match.jpg,match,fan.jpg,fan,celery.jpg,celery,scarf.jpg,scarf,44
5,"(5.5,6]",battery02b.jpg,battery,celery.jpg,celery,sunglasses04.jpg,sunglasses,lightbulb01.jpg,lightbulb,47
5,"(5.5,6]",screwdriver04b.jpg,screwdriver,strawbasket01.jpg,basket,sewingmachine01a.jpg,sewingmachine,sunglasses04.jpg,sunglasses,48
6,"(6,6.5]",globe.jpg,globe,dice05a.jpg,dice,teapot.jpg,teapot,axe.jpg,axe,49
6,"(6,6.5]",paperclip03.jpg,paperclip,envelope03a.jpg,envelope,cigarette.jpg,cigarette,dustpan.jpg,dustpan,50
6,"(6,6.5]",paintbrush01.jpg,paintbrush,globe.jpg,globe,blueberry01.jpg,blueberry,brick.jpg,brick,51
6,"(6,6.5]",blueberry01.jpg,blueberry,mushroom01.jpg,mushroom,paintbrush01.jpg,paintbrush,speaker04.jpg,speaker,52
6,"(6,6.5]",dustpan.jpg,dustpan,pineapple01a.jpg,pineapple,cauliflower.jpg,cauliflower,onion.jpg,onion,55
6,"(6,6.5]",mushroom01.jpg,mushroom,onion.jpg,onion,brick.jpg,brick,teapot.jpg,teapot,56
7,"(6.5,7]",screw02.jpg,screw,hanger02a.jpg,hanger,toaster.jpg,toaster,pliers02b.jpg,pliers,57
7,"(6.5,7]",hanger02a.jpg,hanger,tile.jpg,tile,mousetrap.jpg,mousetrap,thermometer02b.jpg,thermometer,58
7,"(6.5,7]",medal02b.jpg,medal,garlic01a.jpg,garlic,toothpick02.jpg,toothpick,teabag.jpg,teabag,59
7,"(6.5,7]",thermometer02b.jpg,thermometer,toaster.jpg,toaster,toothpick02.jpg,toothpick,binoculars01b.jpg,binoculars,60
7,"(6.5,7]",tile.jpg,tile,mousetrap.jpg,mousetrap,garlic01a.jpg,garlic,asparagus.jpg,asparagus,61
7,"(6.5,7]",pliers02b.jpg,pliers,screw02.jpg,screw,zucchini01.jpg,zucchini,tambourine.jpg,tambourine,63
8,"(7,7.5]",iron01b.jpg,iron,lighter01.jpg,lighter,tweezers02a.jpg,tweezers,staples.jpg,staple,65
8,"(7,7.5]",tweezers02a.jpg,tweezers,iron01b.jpg,iron,violin.jpg,violin,lighter01.jpg,lighter,66
