,aoa_bin,set,filename,word,filler1.filename,filler1.word,filler2.filename,filler2.word,filler3.filename,filler3.word,trial
15,"(4.5,5]",4,pizza.jpg,pizza,leaf02a.jpg,leaf,lemon02.jpg,lemon,eraser.jpg,eraser,15
16,"(4.5,5]",4,lemon02.jpg,lemon,bandaid01.jpg,bandaid,tomato01.jpg,tomato,leaf02a.jpg,leaf,16
17,"(4.5,5]",4,belt02a.jpg,belt,eraser.jpg,eraser,marker01a.jpg,marker,pizza.jpg,pizza,17
18,"(4.5,5]",4,bib.jpg,bib,peanut01.jpg,peanut,belt02a.jpg,belt,potato02b.jpg,potato,18
19,"(4.5,5]",4,marker01a.jpg,marker,feather03a.jpg,feather,potato02b.jpg,potato,bandaid01.jpg,bandaid,19
20,"(4.5,5]",4,eraser.jpg,eraser,sponge01.jpg,sponge,ring01.jpg,ring,feather03a.jpg,feather,20
21,"(4.5,5]",4,baseball01a.jpg,baseball,tomato01.jpg,tomato,sponge01.jpg,sponge,peanut01.jpg,peanut,21
22,"(4.5,5]",4,potato02b.jpg,potato,button01.jpg,button,necklace.jpg,necklace,baseball01a.jpg,baseball,22
23,"(4.5,5]",4,button01.jpg,button,bib.jpg,bib,ring01.jpg,ring,necklace.jpg,necklace,23
24,"(5,5.5]",5,nail.jpg,nail,saw02b.jpg,saw,rope03.jpg,rope,hammer01.jpg,hammer,24
25,"(5,5.5]",5,hammer01.jpg,hammer,rope03.jpg,rope,broccoli01a.jpg,broccoli,pen04b.jpg,pen,25
26,"(5,5.5]",5,saw02b.jpg,saw,pen04b.jpg,pen,backpack01a.jpg,backpack,broccoli01a.jpg,broccoli,26
27,"(5,5.5]",5,slipper01b.jpg,slipper,candle01.jpg,candle,backpack01a.jpg,backpack,ribbon04.jpg,ribbon,27
28,"(5,5.5]",5,comb02a.jpg,comb,sandal.jpg,sandal,toiletpaper01a.jpg,toiletpaper,lipstick02a.jpg,lipstick,28
29,"(5,5.5]",5,backpack01a.jpg,backpack,chain.jpg,chain,candle01.jpg,candle,sandal.jpg,sandal,29
30,"(5,5.5]",5,radish01.jpg,radish,comb02a.jpg,comb,slipper01b.jpg,slipper,plum.jpg,plum,30
31,"(5,5.5]",5,lipstick02a.jpg,lipstick,plum.jpg,plum,nail.jpg,nail,chain.jpg,chain,31
32,"(5,5.5]",5,rope03.jpg,rope,radish01.jpg,radish,toiletpaper01a.jpg,toiletpaper,ribbon04.jpg,ribbon,32
33,"(5.5,6]",6,lightbulb01.jpg,lightbulb,screwdriver04b.jpg,screwdriver,umbrella04.jpg,umbrella,stapler03a.jpg,stapler,33
34,"(5.5,6]",6,screwdriver04b.jpg,screwdriver,celery.jpg,celery,strawbasket01.jpg,basket,flyswatter.jpg,flyswatter,34
35,"(5.5,6]",6,match.jpg,match,sewingmachine01a.jpg,sewingmachine,flyswatter.jpg,flyswatter,umbrella04.jpg,umbrella,35
36,"(5.5,6]",6,cherries.jpg,cherry,battery02b.jpg,battery,cucumber.jpg,cucumber,piggybank.jpg,piggybank,36
37,"(5.5,6]",6,cabbage.jpg,cabbage,ruler05.jpg,ruler,flashlight02b.jpg,flashlight,cucumber.jpg,cucumber,37
38,"(5.5,6]",6,piggybank.jpg,piggybank,cabbage.jpg,cabbage,battery02b.jpg,battery,scarf.jpg,scarf,38
39,"(5.5,6]",6,ruler05.jpg,ruler,celery.jpg,celery,cherries.jpg,cherry,fan.jpg,fan,39
40,"(5.5,6]",6,camera01a.jpg,camera,flashlight02b.jpg,flashlight,stapler03a.jpg,stapler,scarf.jpg,scarf,40
41,"(5.5,6]",6,stapler03a.jpg,stapler,lightbulb01.jpg,lightbulb,match.jpg,match,strawbasket01.jpg,basket,41
42,"(5.5,6]",6,flyswatter.jpg,flyswatter,camera01a.jpg,camera,sunglasses04.jpg,sunglasses,fan.jpg,fan,42
43,"(6,6.5]",7,speaker04.jpg,speaker,paperclip03.jpg,paperclip,axe.jpg,axe,brick.jpg,brick,43
44,"(6,6.5]",7,coconut.jpg,coconut,globe.jpg,globe,paperclip03.jpg,paperclip,brick.jpg,brick,44
45,"(6,6.5]",7,blueberry01.jpg,blueberry,onion.jpg,onion,dustpan.jpg,dustpan,mushroom01.jpg,mushroom,45
46,"(6,6.5]",7,mushroom01.jpg,mushroom,blueberry01.jpg,blueberry,speaker04.jpg,speaker,axe.jpg,axe,46
47,"(6,6.5]",7,pineapple01a.jpg,pineapple,envelope03a.jpg,envelope,teapot.jpg,teapot,dustpan.jpg,dustpan,47
48,"(6,6.5]",7,globe.jpg,globe,teapot.jpg,teapot,pineapple01a.jpg,pineapple,onion.jpg,onion,48
49,"(6,6.5]",7,cauliflower.jpg,cauliflower,envelope03a.jpg,envelope,dice05a.jpg,dice,coconut.jpg,coconut,49
50,"(6,6.5]",7,onion.jpg,onion,paintbrush01.jpg,paintbrush,dice05a.jpg,dice,cauliflower.jpg,cauliflower,50
51,"(6.5,7]",8,teabag.jpg,teabag,toaster.jpg,toaster,binoculars01b.jpg,binoculars,lime.jpg,lime,51
52,"(6.5,7]",8,screw02.jpg,screw,mousetrap.jpg,mousetrap,medal02b.jpg,medal,tambourine.jpg,tambourine,52
53,"(6.5,7]",8,toothpick02.jpg,toothpick,teabag.jpg,teabag,mousetrap.jpg,mousetrap,garlic01a.jpg,garlic,53
54,"(6.5,7]",8,pliers02b.jpg,pliers,lime.jpg,lime,binoculars01b.jpg,binoculars,hanger02a.jpg,hanger,54
55,"(6.5,7]",8,zucchini01.jpg,zucchini,asparagus.jpg,asparagus,toothpick02.jpg,toothpick,screw02.jpg,screw,55
56,"(6.5,7]",8,asparagus.jpg,asparagus,garlic01a.jpg,garlic,thermometer02b.jpg,thermometer,zucchini01.jpg,zucchini,56
57,"(6.5,7]",8,toaster.jpg,toaster,medal02b.jpg,medal,hanger02a.jpg,hanger,tambourine.jpg,tambourine,57
58,"(6.5,7]",8,tile.jpg,tile,pliers02b.jpg,pliers,thermometer02b.jpg,thermometer,olive.jpg,olive,58
59,"(7,7.5]",9,iron01b.jpg,iron,violin.jpg,violin,lighter01.jpg,lighter,tweezers02a.jpg,tweezers,59
60,"(7,7.5]",9,earrings01.jpg,earring,violin.jpg,violin,staples.jpg,staple,iron01b.jpg,iron,60
61,"(7,7.5]",9,tweezers02a.jpg,tweezers,lighter01.jpg,lighter,staples.jpg,staple,earrings01.jpg,earring,61
62,"(7.5,8]",9,tongs01b.jpg,tongs,vase01.jpg,vase,rollingpin01a.jpg,rollingpin,wrench01b.jpg,wrench,62
63,"(7.5,8]",9,clipboard.jpg,clipboard,wrench01b.jpg,wrench,tongs01b.jpg,tongs,rollingpin01a.jpg,rollingpin,63
64,"(7.5,8]",9,wrench01b.jpg,wrench,vase01.jpg,vase,clipboard.jpg,clipboard,printer02.jpg,printer,64
65,"(8,8.5]",10,calculator01.jpg,calculator,thimble.jpg,thimble,ginger.jpg,ginger,eggplant.jpg,eggplant,65
66,"(8,8.5]",10,thimble.jpg,thimble,ginger.jpg,ginger,eggplant.jpg,eggplant,calculator01.jpg,calculator,66
67,"(8.5,9]",10,deodorant02a.jpg,deodorant,pistachio.jpg,pistachio,scale01a.jpg,scale,bagel.jpg,bagel,67
68,"(8.5,9]",10,bagel.jpg,bagel,deodorant02a.jpg,deodorant,scale01a.jpg,scale,pistachio.jpg,pistachio,68
69,"(9,9.5]",11,keyboard02.jpg,keyboard,avocado.jpg,avocado,microscope.jpg,microscope,tripod.jpg,tripod,69
70,"(9,9.5]",11,microscope.jpg,microscope,avocado.jpg,avocado,tripod.jpg,tripod,keyboard02.jpg,keyboard,70
